CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"3,372",-137,"1,110",-,136.50,6.70,450,135.35,136.15,900,"2,000.00",675,38.55,38.75,225,-7.70,38.80,37.15,"2,243",76,"4,266",
,201,38,41,15.52,124.60,2.10,225,121.80,122.85,675,"2,020.00",225,45.10,45.40,225,-8.95,45.35,37.01,522,168,558,
,322,29,99,20.89,116.40,10.90,225,108.90,111.35,225,"2,040.00",225,52.40,52.85,225,-11.10,51.00,37.24,301,31,393,
,"1,257",21,489,19.69,98.35,3.40,225,98.10,98.70,675,"2,060.00",225,60.70,61.20,450,-12.20,59.05,37.54,519,23,"1,645",
,995,6,589,20.95,87.80,2.65,225,87.55,88.00,"1,125","2,080.00","1,350",69.75,70.40,900,-10.35,70.00,37.93,487,-35,901,
,"5,762",-139,"4,650",22.30,78.20,1.85,450,78.05,78.45,225,"2,100.00",675,80.20,80.85,675,-11.65,80.05,38.41,"3,117",694,"5,566",
,"1,032",527,"2,306",23.48,69.00,0.70,450,69.00,69.35,225,"2,120.00",450,91.05,91.50,225,-12.15,91.25,39.33,"2,006",765,"1,039",
,991,311,"1,570",24.14,61.30,0.50,225,61.05,61.45,675,"2,140.00",675,102.70,103.25,225,-13.60,102.90,40.26,"1,273",300,675,
,"1,468",-64,805,24.64,53.85,-0.25,225,53.75,54.10,"1,575","2,160.00",450,115.05,115.90,675,-13.70,115.15,40.16,365,39,"1,367",
,572,33,547,25.66,48.25,0.15,225,47.35,47.70,900,"2,180.00",225,127.55,129.80,225,-13.40,126.60,41.31,34,2,173,
,"7,036",362,"4,778",26.10,41.75,-1.20,225,41.70,41.90,900,"2,200.00",675,142.65,143.30,225,-14.85,143.00,42.34,"1,216",26,"3,320",
,677,11,253,26.66,36.80,-1.25,450,36.40,36.70,900,"2,220.00",225,155.30,159.95,900,-14.80,155.20,43.08,3,-,455,
,"1,357",-83,659,27.17,31.95,-2.05,450,31.85,32.15,"1,350","2,240.00",225,172.00,174.65,225,-23.25,166.75,42.55,31,-4,699,
,"1,003",1,228,27.67,28.25,-1.85,225,27.85,28.05,225,"2,260.00",450,187.25,190.75,225,-21.00,184.60,44.42,9,1,244,
,658,44,139,28.54,25.30,-1.70,450,24.45,24.65,675,"2,280.00",225,204.30,206.95,225,-57.00,198.00,44.27,1,-,81,
,"7,195",748,"5,400",28.72,21.80,-2.30,900,21.55,21.80,"1,575","2,300.00",225,220.75,223.40,225,-14.95,220.00,47.67,121,47,"1,094",
,831,232,576,29.22,18.95,-2.35,675,18.70,18.90,"2,025","2,320.00",225,234.40,243.10,225,-,-,34.03,-,-,18,
,776,143,564,29.82,16.55,-2.30,225,16.30,16.45,"1,350","2,340.00",225,251.75,262.10,225,-18.35,248.00,47.12,4,4,45,
,267,16,182,30.06,14.40,-2.25,225,14.30,14.40,675,"2,360.00",225,269.95,276.95,225,-47.40,271.80,51.13,11,6,78,
,248,24,180,30.35,12.40,-2.40,450,12.45,12.60,675,"2,380.00",225,287.30,295.70,225,-,-,56.09,-,-,16,
,"5,035",169,"2,060",30.95,10.95,-2.15,450,10.95,11.05,450,"2,400.00",450,309.05,312.00,225,-16.70,308.50,54.14,196,122,918,
,316,12,107,31.17,9.45,-2.05,450,9.50,9.60,450,"2,420.00",225,321.70,333.30,225,-,-,22.27,-,-,1,
,333,25,127,31.75,8.30,-1.90,675,8.25,8.40,225,"2,440.00",225,344.95,347.80,225,-47.95,322.00,44.00,2,2,10,
,130,15,69,31.94,7.20,-1.80,225,7.20,7.40,225,"2,460.00","1,575",351.85,379.60,675,-,-,56.00,-,-,26,
,93,1,56,32.38,6.35,-0.75,225,6.30,6.65,225,"2,480.00",225,371.10,398.25,675,-,-,43.89,-,-,12,
,"3,135",111,783,32.93,5.70,-1.50,225,5.65,5.85,450,"2,500.00",225,400.65,407.30,225,-15.15,402.00,60.75,105,91,512,
,182,8,97,32.82,4.65,-1.55,900,4.65,5.95,225,"2,520.00",225,414.10,429.90,675,252.00,410.00,55.99,1,-,-,
,52,2,11,34.55,5.00,-0.70,225,3.85,5.00,675,"2,540.00",675,434.70,446.20,225,8.05,440.05,63.43,4,4,10,
,25,-,4,35.42,4.75,-0.25,"2,025",3.15,4.90,450,"2,560.00",675,454.10,466.10,450,-31.00,454.00,61.85,5,3,13,
,45,-,-,32.10,-,-,225,3.00,5.20,900,"2,580.00",225,475.05,484.35,225,15.00,475.00,64.17,2,2,4,
,883,-32,144,34.25,2.75,-1.00,225,2.60,2.90,450,"2,600.00",225,494.90,504.20,225,-15.30,496.50,66.76,73,71,163,
,31,-,1,33.56,2.00,-2.00,"2,475",2.00,4.00,"3,375","2,620.00","1,800",505.15,533.00,450,-,-,46.83,-,-,1,
,107,6,16,35.00,2.15,-0.70,225,2.10,2.45,225,"2,640.00",225,524.65,552.05,450,-,-,74.11,-,-,3,
,3,-,-,28.91,-,-,"1,800",1.25,3.40,"3,825","2,660.00",225,546.50,572.10,450,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,250",1.05,3.00,"4,500","2,680.00",900,565.95,585.40,450,99.00,565.00,66.26,1,1,2,
,590,4,199,36.09,1.50,-0.70,"1,350",1.40,1.60,675,"2,700.00",225,591.50,598.30,225,-10.20,598.30,74.60,186,181,540,
,18,-,-,33.33,-,-,"5,400",0.80,2.60,"3,375","2,720.00",225,605.80,630.55,450,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,500",0.60,2.40,"4,500","2,740.00","1,575",622.30,650.20,450,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,500",0.50,2.25,"4,500","2,760.00",675,649.25,669.90,225,94.50,632.00,62.47,1,1,6,
,"1,978",520,824,37.28,0.75,-0.50,"2,250",0.75,0.80,"14,175","2,800.00",225,691.85,694.50,225,-13.00,691.55,77.99,"1,069",910,"4,320",
,121,1,1,39.19,0.55,-,"1,125",0.30,0.70,225,"2,880.00",-,-,-,-,-,-,-,-,-,-,
