CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,210,104,404,18.17,32.60,11.75,"2,100",32.40,32.75,"1,400","1,410.00",700,35.15,35.50,"4,900",-14.05,35.15,21.93,322,99,130,
,757,72,808,18.31,27.90,10.65,"2,100",27.65,27.85,"1,400","1,420.00",700,40.20,40.60,"1,400",-15.70,40.40,21.88,170,63,118,
,189,49,322,18.42,23.50,9.05,"2,100",23.40,23.70,"1,400","1,430.00","2,800",45.70,46.40,"1,400",-15.20,46.05,22.09,126,97,107,
,339,99,349,18.42,19.80,7.85,"2,100",19.65,19.90,"4,900","1,440.00",700,51.45,52.95,700,-,-,22.65,-,-,3,
,435,202,679,18.31,16.55,6.70,"5,600",16.40,16.60,"7,000","1,450.00",700,58.50,58.90,"2,800",-18.90,58.80,22.43,308,198,243,
,183,43,214,18.27,13.60,5.40,"2,100",13.55,13.70,"5,600","1,460.00",700,65.45,66.30,700,-21.10,65.00,22.37,53,34,78,
,157,139,249,18.41,11.05,4.45,"3,500",11.05,11.25,"7,000","1,470.00",700,72.40,74.30,"1,400",-,-,-,-,-,-,
,556,57,343,18.48,9.20,3.75,"6,300",9.00,9.10,700,"1,480.00",700,80.35,82.30,700,-99.40,81.00,22.64,2,-,-,
,16,-,27,18.44,7.15,2.40,"4,200",7.30,7.50,"3,500","1,490.00",700,88.60,90.70,700,-,-,-,-,-,-,
,781,294,"1,143",18.65,6.00,2.25,700,6.00,6.05,"2,800","1,500.00","1,400",97.25,98.60,700,-21.30,99.55,24.97,32,8,48,
,326,27,222,19.03,4.05,1.40,"12,600",3.95,4.05,"6,300","1,520.00",700,114.45,117.05,700,-99.50,115.60,24.75,8,4,4,
,61,61,96,19.19,2.50,-4.65,700,2.60,2.65,"1,400","1,540.00",700,131.50,138.40,700,-,-,-,-,-,-,
,45,-,51,19.82,1.75,-3.95,700,1.75,1.85,700,"1,560.00","4,900",144.45,159.60,"1,400",-,-,-,-,-,-,
