CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,231,10,423,38.20,0.15,-0.30,"14,000",0.10,0.20,"10,500","1,450.00","3,500",53.25,71.80,"3,500",-,-,-,-,-,-,
,92,-24,103,41.09,0.10,-0.30,"81,200",0.05,0.15,"2,800","1,460.00",700,71.55,75.05,700,1.80,72.40,56.95,24,-13,34,
,-,-,-,-,-,-,"2,100",0.05,0.20,"7,000","1,470.00","3,500",73.90,92.35,"3,500",-,-,-,-,-,-,
,37,-12,37,50.64,0.10,-0.25,"9,100",0.05,0.30,"3,500","1,480.00","2,100",83.30,100.20,"3,500",-1.75,92.25,66.60,3,-,45,
,-,-,-,-,-,-,"3,500",0.05,0.20,"7,000","1,490.00","19,600",49.40,154.60,700,-,-,-,-,-,-,
,403,-633,"1,269",55.47,0.05,-0.25,-,-,0.05,"12,600","1,500.00","2,100",103.85,122.30,"2,100",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,0.20,"1,400","1,510.00","21,700",69.35,174.60,700,-,-,-,-,-,-,
,74,-12,81,68.80,0.10,-0.20,"63,000",0.05,0.15,"14,700","1,520.00","2,100",123.10,141.65,"2,100",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,0.15,"7,000","1,540.00","1,400",143.05,161.60,"1,400",-,-,-,-,-,-,
,11,-,-,38.53,0.05,-,-,-,0.15,"7,000","1,560.00","1,400",163.05,181.60,"1,400",-,-,-,-,-,-,
