Spot,Strike,OptionType,MarketPrice,TimeToMaturity,RiskFreeRate,DividendYield,ImpliedVolatility
2095.9,2000,PUT,2.825,0.0109589,0.07,0.02,33.1988
2095.9,2020,CALL,76.8,0.0109589,0.07,0.02,NA
2095.9,2020,PUT,3.8,0.0109589,0.07,0.02,30.2741
2095.9,2040,CALL,58.125,0.0109589,0.07,0.02,17.5862
2095.9,2040,PUT,5.55,0.0109589,0.07,0.02,27.8346
2095.9,2060,CALL,42.65,0.0109589,0.07,0.02,21.3904
2095.9,2060,PUT,9.4,0.0109589,0.07,0.02,26.9762
2095.9,2080,CALL,28.95,0.0109589,0.07,0.02,22.0834
2095.9,2080,PUT,15.8,0.0109589,0.07,0.02,26.7744
2095.9,2100,CALL,18.975,0.0109589,0.07,0.02,23.313
2095.9,2100,PUT,25.375,0.0109589,0.07,0.02,27.2597
2095.9,2120,CALL,12.325,0.0109589,0.07,0.02,24.8997
2095.9,2120,PUT,38.45,0.0109589,0.07,0.02,28.8124
2095.9,2140,CALL,7.975,0.0109589,0.07,0.02,26.5219
2095.9,2140,PUT,54.425,0.0109589,0.07,0.02,31.5208
2095.9,2160,CALL,5.4,0.0109589,0.07,0.02,28.5487
2095.9,2160,PUT,70.725,0.0109589,0.07,0.02,32.7287
2095.9,2180,CALL,3.65,0.0109589,0.07,0.02,30.3575
2095.9,2180,PUT,89.95,0.0109589,0.07,0.02,37.3466
2095.9,2200,CALL,2.85,0.0109589,0.07,0.02,33.1591
2095.9,2200,PUT,108.65,0.0109589,0.07,0.02,40.2898
2095.9,2220,CALL,2.025,0.0109589,0.07,0.02,34.9449
2095.9,2220,PUT,127.875,0.0109589,0.07,0.02,43.6566
2095.9,2240,CALL,1.6,0.0109589,0.07,0.02,37.3534
2095.9,2240,PUT,148.5,0.0109589,0.07,0.02,50.1042
2095.9,2260,CALL,1.25,0.0109589,0.07,0.02,39.4827
2095.9,2260,PUT,168.775,0.0109589,0.07,0.02,55.6206
2095.9,2280,CALL,0.95,0.0109589,0.07,0.02,41.2745
2095.9,2280,PUT,187.525,0.0109589,0.07,0.02,56.863
2095.9,2300,CALL,0.875,0.0109589,0.07,0.02,44.2388
2095.9,2300,PUT,208.05,0.0109589,0.07,0.02,62.8746
2095.9,2320,CALL,0.7,0.0109589,0.07,0.02,46.0988
2095.9,2320,PUT,227.975,0.0109589,0.07,0.02,67.0472
2095.9,2340,CALL,0.575,0.0109589,0.07,0.02,48.0276
2095.9,2340,PUT,247.55,0.0109589,0.07,0.02,69.9646
2095.9,2360,CALL,0.5,0.0109589,0.07,0.02,50.2309
2095.9,2360,PUT,267.475,0.0109589,0.07,0.02,73.8662
2095.9,2380,CALL,0.45,0.0109589,0.07,0.02,52.5706
2095.9,2380,PUT,286.925,0.0109589,0.07,0.02,75.9065
2095.9,2400,CALL,0.475,0.0109589,0.07,0.02,55.9463
2095.9,2400,PUT,307.225,0.0109589,0.07,0.02,81.0007
2095.9,2420,CALL,0.35,0.0109589,0.07,0.02,56.7139
2095.9,2420,PUT,326.275,0.0109589,0.07,0.02,80.9562
2095.9,2440,CALL,0.35,0.0109589,0.07,0.02,59.5452
2095.9,2440,PUT,348.6,0.0109589,0.07,0.02,93.8584
2095.9,2460,CALL,0.3,0.0109589,0.07,0.02,61.2252
2095.9,2460,PUT,366.5,0.0109589,0.07,0.02,89.3963
2095.9,2480,CALL,0.325,0.0109589,0.07,0.02,64.5294
2095.9,2480,PUT,387.375,0.0109589,0.07,0.02,96.8633
2095.9,2500,CALL,0.225,0.0109589,0.07,0.02,64.5342
2095.9,2500,PUT,406.975,0.0109589,0.07,0.02,98.8111
2095.9,2520,CALL,0.25,0.0109589,0.07,0.02,67.8784
2095.9,2520,PUT,427.525,0.0109589,0.07,0.02,104.812
2095.9,2540,CALL,0.275,0.0109589,0.07,0.02,71.1783
2095.9,2540,PUT,447.4,0.0109589,0.07,0.02,107.857
2095.9,2560,CALL,0.175,0.0109589,0.07,0.02,70.324
2095.9,2560,PUT,473.55,0.0109589,0.07,0.02,132.938
2095.9,2580,CALL,0.25,0.0109589,0.07,0.02,75.4908
2095.9,2580,PUT,487.9,0.0109589,0.07,0.02,117.087
2095.9,2600,CALL,0.175,0.0109589,0.07,0.02,75.1642
2095.9,2600,PUT,508.225,0.0109589,0.07,0.02,121.967
2095.9,2620,CALL,0.225,0.0109589,0.07,0.02,79.5406
2095.9,2620,PUT,529.725,0.0109589,0.07,0.02,131.48
2095.9,2640,CALL,0.275,0.0109589,0.07,0.02,83.6761
2095.9,2640,PUT,548.525,0.0109589,0.07,0.02,130.137
2095.9,2660,CALL,0.2,0.0109589,0.07,0.02,83.3185
2095.9,2660,PUT,568.25,0.0109589,0.07,0.02,132.326
2095.9,2680,CALL,0.225,0.0109589,0.07,0.02,86.665
2095.9,2680,PUT,604.6,0.0109589,0.07,0.02,184.433
2095.9,2700,CALL,0.15,0.0109589,0.07,0.02,85.5277
2095.9,2700,PUT,608.85,0.0109589,0.07,0.02,141.621
2095.9,2720,CALL,0.25,0.0109589,0.07,0.02,92.2711
2095.9,2720,PUT,282.05,0.0109589,0.07,0.02,NA
2095.9,2740,CALL,0.25,0.0109589,0.07,0.02,94.567
2095.9,2740,PUT,649.35,0.0109589,0.07,0.02,150.34
2095.9,2760,CALL,0.25,0.0109589,0.07,0.02,96.8416
2095.9,2760,PUT,664.725,0.0109589,0.07,0.02,127.148
2095.9,2800,CALL,0.175,0.0109589,0.07,0.02,97.8512
2095.9,2800,PUT,708.025,0.0109589,0.07,0.02,153.794
2095.9,2840,CALL,0.225,0.0109589,0.07,0.02,104.614
2095.9,2840,PUT,744.275,0.0109589,0.07,0.02,134.359
2095.9,2960,CALL,0.075,0.0109589,0.07,0.02,106.337
2095.9,3040,CALL,0.2,0.0109589,0.07,0.02,123.844
2095.9,1680,CALL,387.225,0.0876712,0.07,0.02,NA
2095.9,1680,PUT,3.95,0.0876712,0.07,0.02,43.6572
2095.9,1720,CALL,348.725,0.0876712,0.07,0.02,NA
2095.9,1720,PUT,5.675,0.0876712,0.07,0.02,42.8579
2095.9,1760,CALL,310.25,0.0876712,0.07,0.02,NA
2095.9,1760,PUT,7.525,0.0876712,0.07,0.02,41.4297
2095.9,1780,CALL,291.625,0.0876712,0.07,0.02,NA
2095.9,1780,PUT,8.8,0.0876712,0.07,0.02,40.8843
2095.9,1800,CALL,275.7,0.0876712,0.07,0.02,NA
2095.9,1800,PUT,10.5,0.0876712,0.07,0.02,40.5808
2095.9,1820,CALL,256.225,0.0876712,0.07,0.02,NA
2095.9,1820,PUT,12.05,0.0876712,0.07,0.02,39.891
2095.9,1840,CALL,238.4,0.0876712,0.07,0.02,NA
2095.9,1840,PUT,14.125,0.0876712,0.07,0.02,39.4639
2095.9,1860,CALL,223.95,0.0876712,0.07,0.02,NA
2095.9,1860,PUT,16.75,0.0876712,0.07,0.02,39.2303
2095.9,1880,CALL,203.125,0.0876712,0.07,0.02,NA
2095.9,1880,PUT,19.8,0.0876712,0.07,0.02,39.0265
2095.9,1900,CALL,189.225,0.0876712,0.07,0.02,NA
2095.9,1900,PUT,23.25,0.0876712,0.07,0.02,38.8093
2095.9,1920,CALL,175.25,0.0876712,0.07,0.02,NA
2095.9,1920,PUT,27.325,0.0876712,0.07,0.02,38.6915
2095.9,1940,CALL,156.35,0.0876712,0.07,0.02,NA
2095.9,1940,PUT,32,0.0876712,0.07,0.02,38.6182
2095.9,1960,CALL,144.55,0.0876712,0.07,0.02,11.0112
2095.9,1960,PUT,36.275,0.0876712,0.07,0.02,38.0581
2095.9,1980,CALL,130.55,0.0876712,0.07,0.02,17.5794
2095.9,1980,PUT,43.8,0.0876712,0.07,0.02,38.8371
2095.9,2000,CALL,117.85,0.0876712,0.07,0.02,20.2765
2095.9,2000,PUT,50.825,0.0876712,0.07,0.02,39.0237
2095.9,2020,CALL,108.3,0.0876712,0.07,0.02,23.2016
2095.9,2020,PUT,57.3,0.0876712,0.07,0.02,38.6721
2095.9,2040,CALL,94.725,0.0876712,0.07,0.02,23.2602
2095.9,2040,PUT,67.825,0.0876712,0.07,0.02,39.791
2095.9,2060,CALL,84.575,0.0876712,0.07,0.02,24.3379
2095.9,2060,PUT,77.675,0.0876712,0.07,0.02,40.3012
2095.9,2080,CALL,75.225,0.0876712,0.07,0.02,25.2209
2095.9,2080,PUT,87.925,0.0876712,0.07,0.02,40.6921
2095.9,2100,CALL,67,0.0876712,0.07,0.02,26.1081
2095.9,2100,PUT,98.975,0.0876712,0.07,0.02,41.1419
2095.9,2120,CALL,59.325,0.0876712,0.07,0.02,26.805
2095.9,2120,PUT,111.225,0.0876712,0.07,0.02,41.8209
2095.9,2140,CALL,52.375,0.0876712,0.07,0.02,27.4242
2095.9,2140,PUT,123.975,0.0876712,0.07,0.02,42.4583
2095.9,2160,CALL,46.075,0.0876712,0.07,0.02,27.9666
2095.9,2160,PUT,139.2,0.0876712,0.07,0.02,43.8777
2095.9,2180,CALL,40.8,0.0876712,0.07,0.02,28.6261
2095.9,2180,PUT,152.15,0.0876712,0.07,0.02,44.1578
2095.9,2200,CALL,36.075,0.0876712,0.07,0.02,29.2354
2095.9,2200,PUT,167.05,0.0876712,0.07,0.02,45.0417
2095.9,2220,CALL,31.95,0.0876712,0.07,0.02,29.8505
2095.9,2220,PUT,184.825,0.0876712,0.07,0.02,46.9692
2095.9,2240,CALL,27.725,0.0876712,0.07,0.02,30.1545
2095.9,2240,PUT,201.6,0.0876712,0.07,0.02,48.3312
2095.9,2260,CALL,24.45,0.0876712,0.07,0.02,30.6872
2095.9,2260,PUT,217.1,0.0876712,0.07,0.02,48.9949
2095.9,2280,CALL,21.525,0.0876712,0.07,0.02,31.1819
2095.9,2280,PUT,235.425,0.0876712,0.07,0.02,50.7763
2095.9,2300,CALL,19.15,0.0876712,0.07,0.02,31.78
2095.9,2300,PUT,249.725,0.0876712,0.07,0.02,50.613
2095.9,2320,CALL,16.525,0.0876712,0.07,0.02,32.0231
2095.9,2320,PUT,270.275,0.0876712,0.07,0.02,53.2173
2095.9,2340,CALL,14.575,0.0876712,0.07,0.02,32.4988
2095.9,2340,PUT,288,0.0876712,0.07,0.02,54.4249
2095.9,2360,CALL,12.925,0.0876712,0.07,0.02,33.0136
2095.9,2360,PUT,303.45,0.0876712,0.07,0.02,54.4233
2095.9,2380,CALL,11.425,0.0876712,0.07,0.02,33.4782
2095.9,2380,PUT,324.325,0.0876712,0.07,0.02,57.0005
2095.9,2400,CALL,10.15,0.0876712,0.07,0.02,33.9724
2095.9,2400,PUT,342.075,0.0876712,0.07,0.02,57.9599
2095.9,2420,CALL,8.75,0.0876712,0.07,0.02,34.1895
2095.9,2420,PUT,361.65,0.0876712,0.07,0.02,59.7871
2095.9,2440,CALL,8,0.0876712,0.07,0.02,34.8991
2095.9,2440,PUT,380.6,0.0876712,0.07,0.02,61.2346
2095.9,2460,CALL,6.9,0.0876712,0.07,0.02,35.1043
2095.9,2460,PUT,396.95,0.0876712,0.07,0.02,61.2282
2095.9,2480,CALL,6.25,0.0876712,0.07,0.02,35.6895
2095.9,2480,PUT,416.05,0.0876712,0.07,0.02,62.6299
2095.9,2500,CALL,5.825,0.0876712,0.07,0.02,36.4717
2095.9,2500,PUT,436.3,0.0876712,0.07,0.02,64.6294
2095.9,2520,CALL,4.525,0.0876712,0.07,0.02,35.8947
2095.9,2520,PUT,454.325,0.0876712,0.07,0.02,65.337
2095.9,2540,CALL,4.175,0.0876712,0.07,0.02,36.5634
2095.9,2540,PUT,473.725,0.0876712,0.07,0.02,66.7772
2095.9,2560,CALL,4.45,0.0876712,0.07,0.02,38.2284
2095.9,2560,PUT,492.8,0.0876712,0.07,0.02,67.9891
2095.9,2580,CALL,5,0.0876712,0.07,0.02,40.3166
2095.9,2580,PUT,512.475,0.0876712,0.07,0.02,69.5198
2095.9,2600,CALL,2.95,0.0876712,0.07,0.02,37.7448
2095.9,2600,PUT,528.825,0.0876712,0.07,0.02,68.9791
2095.9,2620,CALL,3.2,0.0876712,0.07,0.02,39.3971
2095.9,2620,PUT,551.275,0.0876712,0.07,0.02,72.1598
2095.9,2640,CALL,3.225,0.0876712,0.07,0.02,40.5578
2095.9,2640,PUT,570.775,0.0876712,0.07,0.02,73.4923
2095.9,2660,CALL,2.375,0.0876712,0.07,0.02,39.6173
2095.9,2660,PUT,590.375,0.0876712,0.07,0.02,74.8601
2095.9,2680,CALL,3.05,0.0876712,0.07,0.02,42.3344
2095.9,2680,PUT,609.9,0.0876712,0.07,0.02,76.1533
2095.9,2700,CALL,1.9,0.0876712,0.07,0.02,40.3039
2095.9,2700,PUT,627.325,0.0876712,0.07,0.02,76.0439
2095.9,2720,CALL,2.6,0.0876712,0.07,0.02,43.3187
2095.9,2720,PUT,649.2,0.0876712,0.07,0.02,78.8245
2095.9,2740,CALL,2.45,0.0876712,0.07,0.02,43.9276
2095.9,2740,PUT,668.7,0.0876712,0.07,0.02,80.0257
2095.9,2760,CALL,2.325,0.0876712,0.07,0.02,44.5684
2095.9,2760,PUT,688.325,0.0876712,0.07,0.02,81.2859
2095.9,2800,CALL,1.2,0.0876712,0.07,0.02,42.3959
2095.9,2800,PUT,723.375,0.0876712,0.07,0.02,80.7934
2095.9,2880,CALL,0.85,0.0876712,0.07,0.02,43.9924
2095.9,1680,PUT,0.5,0.164384,0.07,0.02,23.6695
2095.9,1760,PUT,14.75,0.164384,0.07,0.02,36.556
2095.9,1800,PUT,17.5,0.164384,0.07,0.02,34.9119
2095.9,1840,CALL,0,0.164384,0.07,0.02,NA
2095.9,1840,PUT,26.2,0.164384,0.07,0.02,36.0587
2095.9,1880,PUT,30.05,0.164384,0.07,0.02,34.0566
2095.9,1920,PUT,44.525,0.164384,0.07,0.02,35.979
2095.9,1960,CALL,66.2,0.164384,0.07,0.02,NA
2095.9,1960,PUT,10,0.164384,0.07,0.02,17.1853
2095.9,2000,CALL,143.875,0.164384,0.07,0.02,22.8268
2095.9,2000,PUT,73.05,0.164384,0.07,0.02,36.7943
2095.9,2040,PUT,21.5,0.164384,0.07,0.02,14.9091
2095.9,2080,CALL,36.5,0.164384,0.07,0.02,4.3476
2095.9,2080,PUT,0,0.164384,0.07,0.02,0.519553
2095.9,2120,CALL,0,0.164384,0.07,0.02,1e-05
2095.9,2160,CALL,0,0.164384,0.07,0.02,1e-05
2095.9,2160,PUT,36.25,0.164384,0.07,0.02,NA
2095.9,2200,CALL,60.95,0.164384,0.07,0.02,28.4172
2095.9,2200,PUT,189.6,0.164384,0.07,0.02,41.409
2095.9,2240,CALL,0,0.164384,0.07,0.02,1e-05
2095.9,2240,PUT,0,0.164384,0.07,0.02,NA
2095.9,2280,CALL,70.8,0.164384,0.07,0.02,39.3055
2095.9,2320,CALL,15,0.164384,0.07,0.02,22.0672
2095.9,2400,CALL,21.525,0.164384,0.07,0.02,30.4341
2095.9,2400,PUT,82.5,0.164384,0.07,0.02,NA
2095.9,2440,CALL,2.65,0.164384,0.07,0.02,19.8296
2095.9,2480,CALL,3.55,0.164384,0.07,0.02,22.813
2095.9,2520,CALL,1.6,0.164384,0.07,0.02,21.4998
2095.9,2560,CALL,10.175,0.164384,0.07,0.02,32.7874
2095.9,2560,PUT,140.05,0.164384,0.07,0.02,NA
2095.9,2600,CALL,11.575,0.164384,0.07,0.02,35.81
2095.9,2640,CALL,0.6,0.164384,0.07,0.02,22.9265
2095.9,2680,CALL,0.65,0.164384,0.07,0.02,24.4966
2095.9,2720,CALL,8.25,0.164384,0.07,0.02,38.5116
2095.9,2720,PUT,210.05,0.164384,0.07,0.02,NA
2095.9,2800,CALL,3.875,0.164384,0.07,0.02,36.4468
2095.9,2800,PUT,260.05,0.164384,0.07,0.02,NA
2095.9,2880,CALL,4.85,0.164384,0.07,0.02,40.8888
